Name,Times,Errors
LTMOA,0.000798,0.8268875974508805
LTMOA,0.001412,0.8268822768090516
LTMOA,0.001835,0.8260176725118351
LTMOA,0.002171,0.826012351870006
LTMOA,0.002227,0.825367224048237
LTMOA,0.002242,0.8253619034064079
LTMOA,0.002444,0.8194919053085374
LTMOA,0.002461,0.8194865846667083
LTMOA,0.002926,0.8186219803694921
LTMOA,0.002951,0.818616659727663
LTMOA,0.007461,0.818232243355516
LTMOA,0.007508,0.8182269227136869
LTMOA,0.009019,0.8173623184164707
LTMOA,0.009077,0.8173569977746415
LTMOA,0.01155,0.815327172916869
LTMOA,0.011624,0.8153218522750398
LTMOA,0.013685,0.8144572479778236
LTMOA,0.013733,0.8144519273359945
LTMOA,0.015588,0.8142045174909449
LTMOA,0.015638,0.814199196849116
LTMOA,0.02019,0.8140302664710444
LTMOA,0.020254,0.8140249458292155
LTMOA,0.027644,0.8131975860248022
LTMOA,0.027708,0.8131922653829731
LTMOA,0.029794,0.8129448555379235
LTMOA,0.029862,0.8129395348960946
LTMOA,0.036226,0.812770604518023
LTMOA,0.036301,0.8127652838761941
LTMOA,0.039342,0.8122265688910053
LTMOA,0.039435,0.8122212482491764
LTMOA,0.042193,0.8114497551839679
LTMOA,0.042286,0.8114444345421388
LTMOA,0.051814,0.8111345071555982
LTMOA,0.051898,0.8111291865137691
LTMOA,0.052403,0.8080245920065336
LTMOA,0.052492,0.8080192713647047
LTMOA,0.054487,0.8055957190115843
LTMOA,0.05487,0.8055903983697554
LTMOA,0.055496,0.7989223039975313
LTMOA,0.055879,0.7989169833557022
LTMOA,0.059424,0.7980523790584859
LTMOA,0.059762,0.7980470584166568
LTMOA,0.060417,0.7974019305948876
LTMOA,0.060546,0.7973966099530587
LTMOA,0.063391,0.791526611855188
LTMOA,0.063484,0.7915212912133591
LTMOA,0.06704,0.7906566869161427
LTMOA,0.067155,0.7906513662743138
LTMOA,0.085244,0.7902669499021666
LTMOA,0.085364,0.7902616292603377
LTMOA,0.088799,0.7893970249631213
LTMOA,0.088887,0.7893917043212924
LTMOA,0.164286,0.7891442944762426
LTMOA,0.164347,0.7891389738344137
LTMOA,0.17365,0.7887545574622667
LTMOA,0.173706,0.7887492368204376
LTMOA,0.175285,0.7878846325232214
LTMOA,0.175338,0.7878793118813923
LTMOA,0.255443,0.7878660102768198
LTMOA,0.255498,0.7878606896349907
LTMOA,0.257126,0.7869960853377742
LTMOA,0.257193,0.7869907646959453
LTMOA,0.268126,0.7866063483237984
LTMOA,0.268193,0.7866010276819693
LTMOA,0.270264,0.7857364233847528
LTMOA,0.27033,0.7857311027429239
LTMOA,0.349008,0.7849290159871984
LTMOA,0.349077,0.7849236953453695
LTMOA,0.377164,0.7842240309448529
LTMOA,0.377257,0.7842187103030238
LTMOA,0.467491,0.7838116812031035
LTMOA,0.467596,0.7838063605612744
LTMOA,0.486106,0.7834219441891275
LTMOA,0.486219,0.7834166235472986
LTMOA,0.489868,0.7825520192500821
LTMOA,0.489974,0.7825466986082532
LTMOA,0.613638,0.7822992887632034
LTMOA,0.613731,0.7822939681213745
LTMOA,0.630868,0.7819095517492276
LTMOA,0.630961,0.7819042311073985
LTMOA,0.633895,0.781039626810182
LTMOA,0.633973,0.7810343061683531
LTMOA,0.79504,0.7810210045637804
LTMOA,0.79515,0.7810156839219515
LTMOA,0.798225,0.7801510796247351
LTMOA,0.798314,0.7801457589829062
LTMOA,0.81833,0.7797613426107592
LTMOA,0.818446,0.7797560219689301
LTMOA,0.822046,0.7788914176717137
LTMOA,0.822146,0.7788860970298848
LTMOA,0.950074,0.7786386871848352
LTMOA,0.950212,0.7786333665430061
LTMOA,0.96729,0.7782489501708592
LTMOA,0.967384,0.77824362952903
LTMOA,0.970521,0.7773790252318138
LTMOA,0.970668,0.7773737045899847
LTMOA,1.09255,0.7772845838393485
LTMOA,1.09265,0.7772792631975196
LTMOA,1.09532,0.7764146589003031
LTMOA,1.09538,0.776409338258474
LTMOA,1.33044,0.7755606958867449
LTMOA,1.33054,0.7755553752449158
LTMOA,1.39798,0.7754662544942796
LTMOA,1.39808,0.7754609338524505
LTMOA,1.41139,0.7753465400531265
LTMOA,1.41151,0.7753412194112976
LTMOA,1.50359,0.7747399868846179
LTMOA,1.5037,0.774734666242789
LTMOA,1.53644,0.77457903746929
LTMOA,1.53655,0.7745737168274609
LTMOA,1.53993,0.7739538620543795
LTMOA,1.54004,0.7739485414125507
LTMOA,1.57834,0.773935239807978
LTMOA,1.57845,0.7739299191661491
LTMOA,1.62602,0.7735627948799464
LTMOA,1.62616,0.7735574742381173
LTMOA,1.66252,0.7734018454646183
LTMOA,1.66263,0.7733965248227894
LTMOA,1.66923,0.7729189972186346
LTMOA,1.66938,0.7729136765768054
LTMOA,1.70455,0.7727580478033065
LTMOA,1.70465,0.7727527271614776
LTMOA,1.71868,0.7723909235171038
LTMOA,1.71878,0.7723856028752749
LTMOA,1.78176,0.7717138718443606
LTMOA,1.78189,0.7717085512025315
LTMOA,1.85289,0.7715196684176011
LTMOA,1.85302,0.7715143477757722
LTMOA,1.86056,0.7710793853062494
LTMOA,1.86067,0.7710740646644205
LTMOA,1.86199,0.7709982455183568
LTMOA,1.8621,0.7709929248765279
LTMOA,1.88325,0.7708838517190328
LTMOA,1.88336,0.7708785310772039
LTMOA,1.88686,0.7700139267799875
LTMOA,1.88697,0.7700086061381584
LTMOA,1.98056,0.7696867073075024
LTMOA,1.98068,0.7696813866656735
LTMOA,2.01642,0.7695257578921746
LTMOA,2.01652,0.7695204372503455
LTMOA,2.02182,0.7694911737202859
LTMOA,2.02193,0.769485853078457
LTMOA,2.0234,0.7690429096461906
LTMOA,2.02351,0.7690375890043617
LTMOA,2.02535,0.7686212487812405
LTMOA,2.02544,0.7686159281394114
LTMOA,2.04112,0.7685015343400874
LTMOA,2.04127,0.7684962136982585
LTMOA,2.1329,0.7683485658875031
LTMOA,2.13299,0.768343245245674
LTMOA,2.1382,0.7678657176415191
LTMOA,2.13831,0.76786039699969
LTMOA,2.16911,0.767704768226191
LTMOA,2.16918,0.7676994475843621
LTMOA,2.17036,0.7671088563413404
LTMOA,2.17043,0.7671035356995115
LTMOA,2.26954,0.7670662912067083
LTMOA,2.26963,0.7670609705648792
LTMOA,2.29453,0.7670516594416785
LTMOA,2.29462,0.7670463387998494
LTMOA,2.3003,0.7668960306681796
LTMOA,2.30042,0.7668907100263505
LTMOA,2.30408,0.7660261057291342
LTMOA,2.30419,0.7660207850873051
LTMOA,2.34277,0.7658651563138061
LTMOA,2.34287,0.765859835671977
LTMOA,2.34974,0.7653823080678221
LTMOA,2.34986,0.7653769874259932
LTMOA,2.38812,0.7652213586524943
LTMOA,2.38827,0.7652160380106652
LTMOA,2.39814,0.765168152234204
LTMOA,2.39827,0.7651628315923751
LTMOA,2.43885,0.7650072028188761
LTMOA,2.43901,0.765001882177047
LTMOA,2.44295,0.7648489137244625
LTMOA,2.44309,0.7648435930826336
LTMOA,2.44685,0.7645243545728921
LTMOA,2.447,0.764519033931063
LTMOA,2.48883,0.7643634051575641
LTMOA,2.48896,0.7643580845157352
LTMOA,2.49289,0.7642051160631507
LTMOA,2.49302,0.7641997954213218
LTMOA,2.5342,0.7640441666478228
LTMOA,2.53436,0.7640388460059937
LTMOA,2.54565,0.7639909602295325
LTMOA,2.54576,0.7639856395877034
LTMOA,2.57419,0.763712956693966
LTMOA,2.57434,0.7637076360521369
LTMOA,2.59417,0.7633471625682207
LTMOA,2.59431,0.7633418419263915
LTMOA,2.63697,0.7632487306943836
LTMOA,2.63711,0.7631862131528926
LTMOA,2.63725,0.7631808925110637
LTMOA,2.65003,0.762917520740527
LTMOA,2.65015,0.7629122000986979
LTMOA,2.69402,0.7627751935716005
LTMOA,2.69414,0.7627698729297716
LTMOA,2.73984,0.7626142441562727
LTMOA,2.73997,0.7626089235144435
LTMOA,2.75602,0.7619957195436486
LTMOA,2.75618,0.7619903989018195
LTMOA,2.77684,0.7619797576181615
LTMOA,2.77698,0.7619744369763324
LTMOA,2.80207,0.7161291266565486
LTMOA,2.8026,0.7161238060147195
LTMOA,2.80612,0.7159535454761907
LTMOA,2.80661,0.7159482248343618
LTMOA,2.80775,0.7153110779753362
LTMOA,2.80824,0.7153057573335071
LTMOA,2.80945,0.7146087532539049
LTMOA,2.80959,0.714603432612076
LTMOA,2.81227,0.7087334345142053
LTMOA,2.81242,0.7087281138723764
LTMOA,2.81541,0.7085578533338477
